;datetime;handedness;stance;gender;praticant
0;5/12/2022 2:55:28;R;G;M;Y
1;5/12/2022 5:10:02;R;R;M;Y
2;5/12/2022 5:11:08;R;R;M;N
3;5/12/2022 9:38:08;R;R;M;Y
4;5/12/2022 11:34:09;R;G;M;Y
5;5/12/2022 12:18:40;R;G;M;Y
6;5/12/2022 14:13:22;R;R;M;Y
7;5/12/2022 15:08:15;R;R;F;Y
8;5/12/2022 16:33:01;R;R;;Y
9;5/12/2022 16:38:34;R;G;F;N
10;5/12/2022 19:01:46;R;G;M;Y
11;5/12/2022 19:15:29;R;G;M;Y
12;5/12/2022 19:24:13;R;G;F;N
13;5/12/2022 19:28:14;R;R;F;N
14;5/12/2022 19:37:56;R;G;F;N
15;5/12/2022 19:43:17;R;R;M;N
16;5/12/2022 19:44:05;R;R;M;Y
17;5/12/2022 20:02:23;R;R;M;N
18;5/12/2022 20:02:43;R;G;M;N
19;5/12/2022 20:11:54;R;G;M;Y
20;5/12/2022 20:20:03;R;R;M;Y
21;5/12/2022 20:21:20;R;R;M;N
22;5/12/2022 20:50:48;R;R;M;Y
23;5/13/2022 6:05:12;R;R;M;Y
24;5/13/2022 8:59:40;L;R;M;Y
25;5/13/2022 22:45:27;R;G;F;Y
26;5/13/2022 22:45:54;R;G;M;Y
27;5/13/2022 22:56:26;R;R;BI;Y
28;5/13/2022 22:57:18;R;R;BI;Y
29;5/13/2022 23:01:18;R;R;;Y
30;5/13/2022 23:45:16;R;G;F;Y
31;5/13/2022 23:45:48;L;R;F;Y
32;5/13/2022 23:46:13;R;G;F;Y
33;5/13/2022 23:52:13;R;R;M;Y
34;5/13/2022 23:54:58;R;R;M;N
35;5/14/2022 0:00:47;R;G;F;N
36;5/14/2022 0:08:53;R;R;M;Y
37;5/14/2022 0:10:15;R;R;M;Y
38;5/14/2022 0:10:27;R;R;M;Y
39;5/14/2022 0:11:21;R;G;M;N
40;5/14/2022 0:12:32;L;G;F;N
41;5/14/2022 0:13:19;R;G;M;Y
42;5/14/2022 0:13:49;L;G;M;Y
43;5/14/2022 0:14:30;R;G;M;Y
44;5/14/2022 0:16:01;L;R;M;N
45;5/14/2022 0:17:15;R;G;M;N
46;5/14/2022 0:19:17;R;G;F;N
47;5/14/2022 0:20:02;R;G;F;N
48;5/14/2022 0:21:05;R;G;F;Y
49;5/14/2022 0:22:48;L;G;Borboleta;Y
50;5/14/2022 0:23:38;R;R;F;Y
51;5/14/2022 0:31:58;R;G;F;N
52;5/14/2022 0:34:22;R;G;M;Y
53;5/14/2022 0:35:15;R;G;M;Y
54;5/14/2022 0:39:12;L;G;M;N
55;5/14/2022 0:40:11;R;R;M;N
56;5/14/2022 0:44:21;L;R;M;N
57;5/14/2022 0:44:52;R;G;M;N
58;5/14/2022 0:45:15;R;R;M;N
59;5/14/2022 1:05:42;L;G;M;N
60;5/14/2022 1:06:56;R;R;F;N
61;5/14/2022 1:08:32;L;R;M;N
62;5/14/2022 1:09:28;R;G;M;N
63;5/14/2022 1:10:23;R;R;M;N
64;5/14/2022 1:13:18;R;R;M;Y
65;5/14/2022 1:14:23;R;R;M;N
66;5/14/2022 1:29:49;R;R;M;N
67;5/14/2022 2:19:22;R;R;M;N
68;5/14/2022 2:20:43;R;R;M;N
69;5/14/2022 2:21:54;R;G;M;N
