Date,Ibirapuera,Pinheiros
January 18, 2016,749,1046
January 19, 2016,1003,1121
January 20, 2016,1075,1262
January 21, 2016,661,1016
January 22, 2016,959,991
January 23, 2016,1461,1694
January 24, 2016,1615,1790
January 25, 2016,1156,1307
January 26, 2016,840,851
January 27, 2016,1036,1301
January 28, 2016,1009,1209
January 29, 2016,743,916
January 30, 2016,1640,2057
January 31, 2016,1162,1381
February 1, 2016,1130,1340
February 2, 2016,1251,1461
February 3, 2016,1140,1337
February 4, 2016,886,1010
February 5, 2016,589,744
February 6, 2016,1131,1348
February 7, 2016,690,775
February 8, 2016,1562,1763
February 9, 2016,774,911
February 10, 2016,912,1050
February 11, 2016,1147,1451
February 12, 2016,977,1134
February 13, 2016,1957,2199
February 14, 2016,789,846
February 15, 2016,1064,1353
February 16, 2016,1046,1148
February 17, 2016,1153,1393
February 18, 2016,1098,1288
February 19, 2016,929,1102
February 20, 2016,1850,1999
February 21, 2016,1148,1235
February 22, 2016,1232,1435
February 23, 2016,1035,1146
February 24, 2016,1157,1429
February 25, 2016,1125,1384
February 26, 2016,863,1011
February 27, 2016,1587,1660
February 28, 2016,892,1019
February 29, 2016,563,667
March 1, 2016,803,940
March 2, 2016,716,832
March 3, 2016,1082,1243
March 4, 2016,967,1055
March 5, 2016,1911,2172
March 6, 2016,1161,1250
March 7, 2016,1322,1571
March 8, 2016,1170,1319
March 9, 2016,481,591
March 11, 2016,1007,1094
March 12, 2016,1802,1867
March 13, 2016,1195,1331
March 14, 2016,1370,1481
March 15, 2016,1195,1347
March 16, 2016,1315,1546
March 17, 2016,1233,1457
March 18, 2016,1098,1150
March 19, 2016,2161,2314
March 20, 2016,1410,1522
March 21, 2016,1368,1528
March 22, 2016,1059,1157
March 23, 2016,1210,1380
March 24, 2016,1069,1229
March 25, 2016,896,1017
March 26, 2016,1529,1646
March 27, 2016,1364,1527
March 28, 2016,1482,1552
March 29, 2016,1282,1409
March 30, 2016,1304,1490
March 31, 2016,1288,1502
April 1, 2016,1160,1253
April 2, 2016,2170,2440
April 3, 2016,1416,1525
April 4, 2016,1660,1745
April 5, 2016,1365,1537
April 6, 2016,1499,1680
April 7, 2016,1313,1477
April 8, 2016,1104,1224
April 9, 2016,2130,2257
April 10, 2016,1332,1541
April 11, 2016,1538,1734
April 12, 2016,1480,1695
April 13, 2016,1531,1791
April 14, 2016,1435,1546
April 15, 2016,1243,1328
April 16, 2016,2100,2177
April 17, 2016,1456,1576
April 18, 2016,1652,1799
April 19, 2016,1376,1564
April 20, 2016,1977,2179
April 21, 2016,1069,1136
April 22, 2016,1251,1390
April 23, 2016,2130,2305
April 24, 2016,604,1102
April 25, 2016,1323,1540
April 26, 2016,962,1060
April 27, 2016,1203,1368
April 28, 2016,1020,1151
April 29, 2016,1073,1187
April 30, 2016,2137,2299
May 1, 2016,1281,1504
May 2, 2016,1395,1625
May 3, 2016,1382,1562
May 4, 2016,1422,1632
May 5, 2016,1199,1437
May 6, 2016,889,1014
May 7, 2016,1129,1248
May 8, 2016,1398,1547
May 9, 2016,1357,1517
May 10, 2016,1362,1568
May 11, 2016,1185,1400
May 12, 2016,1051,1279
May 13, 2016,843,1033
May 14, 2016,2109,2222
May 15, 2016,816,903
May 16, 2016,1190,1295
May 17, 2016,638,699
May 18, 2016,656,688
May 19, 2016,974,1135
May 20, 2016,301,332
May 21, 2016,1826,1907
May 22, 2016,812,907
May 23, 2016,869,960
May 24, 2016,1072,1183
May 25, 2016,1583,1871
May 26, 2016,803,857
May 27, 2016,854,853
May 28, 2016,1685,1848
May 29, 2016,931,1026
May 30, 2016,1117,1299
May 31, 2016,1028,1145
June 1, 2016,975,1111
June 2, 2016,611,627
June 3, 2016,402,432
June 4, 2016,547,581
June 5, 2016,560,621
June 6, 2016,523,632
June 7, 2016,1135,1229
June 8, 2016,1047,1196
June 9, 2016,908,1083
June 10, 2016,735,807
June 11, 2016,1186,1297
June 12, 2016,940,1016
June 13, 2016,1019,1127
June 14, 2016,1086,1163
June 15, 2016,1235,1396
June 16, 2016,1130,1270
June 17, 2016,772,875
June 18, 2016,1758,1837
June 19, 2016,921,1006
June 20, 2016,796,878
June 21, 2016,939,1017
June 22, 2016,1114,1228
June 23, 2016,1068,1129
June 24, 2016,809,910
June 25, 2016,1729,1880
June 26, 2016,1141,1346
June 27, 2016,1366,1445
June 28, 2016,1263,1489
June 29, 2016,1197,1323
June 30, 2016,1048,1194
July 1, 2016,1005,1121
July 2, 2016,2135,2368
July 3, 2016,1273,1388
July 4, 2016,1369,1596
July 5, 2016,1292,1440
July 6, 2016,1212,1392
July 7, 2016,1038,1164
July 8, 2016,1137,1186
July 9, 2016,1976,2118
July 10, 2016,1209,1301
July 11, 2016,1342,1525
July 12, 2016,1226,1405
July 13, 2016,1359,1466
July 14, 2016,1083,1239
July 15, 2016,490,503
July 16, 2016,1829,1893
July 17, 2016,1011,1108
July 18, 2016,1030,1170
July 19, 2016,981,1067
July 20, 2016,1002,1158
July 21, 2016,830,961
July 22, 2016,993,1140
July 23, 2016,1961,2173
July 24, 2016,1191,1337
July 25, 2016,1353,1552
July 26, 2016,1305,1411
July 27, 2016,1146,1300
July 28, 2016,909,1081
July 29, 2016,952,1083
July 30, 2016,2185,2345
July 31, 2016,1337,1468
August 1, 2016,1052,1220
August 2, 2016,1153,1281
August 3, 2016,1202,1338
August 4, 2016,1150,1330
August 5, 2016,1088,1153
August 6, 2016,1855,2114
August 7, 2016,1052,1210
August 8, 2016,1276,1393
August 9, 2016,1080,1209
August 10, 2016,984,1105
August 11, 2016,923,1063
August 12, 2016,973,1084
August 13, 2016,1463,1550
August 14, 2016,1000,1017
August 15, 2016,1224,1395
August 16, 2016,1354,1446
