Data Medicao	EVAPORACAO DO PICHE, DIARIA(mm)	INSOLACAO TOTAL, DIARIO(h)	PRECIPITACAO TOTAL, DIARIO(mm)	TEMPERATURA MAXIMA, DIARIA(°C)	TEMPERATURA MEDIA COMPENSADA, DIARIA(°C)	TEMPERATURA MINIMA, DIARIA(°C)	UMIDADE RELATIVA DO AR, MEDIA DIARIA(%)	VENTO, VELOCIDADE MEDIA DIARIA(m/s)
2016-01-01	5.5	5	0	30.3	24.1	21.2	76.75	2.566667
2016-01-02	2.7	0.1	49.8	26.9	22.86	20.8	88.25	2.833333
2016-01-03	2.1	0	2.6	23.9	21.5	19.4	88.75	4.233333
2016-01-04	2.5	4.7	0.3	26.4	21.48	18	74.5	4.366667
2016-01-05	4.5	11	0	29.5	22.96	17.7	66.5	2.333333
2016-01-06	4.5	8	0	31.7	23.76	18	67.5	2.933333
2016-01-07	4.8	10.3	0	32.2	25.22	18.6	57.5	1.366667
2016-01-08	6.4	9.3	0	33.3	25.94	21.4	62.75	2.533333
2016-01-09	5.3	2.2	0	30.4	24.32	21.6	83.75	1.8
2016-01-10	3.5	0.1	28.2	28.2	23.66	20.6	83.5	2.633333
2016-01-11	2.5	0	8.6	23.5	22.44	20.7	85	3.7
2016-01-12	2	0	8	25.5	22.8	21	89	2.05
2016-01-13	2.2	0.9	0.6	29.6	24.56	21.8	85	2.05
2016-01-14	2.4	0	2	26.6	22.9	21.3	95	1.85
2016-01-15	1.4	0	29.4	22.6	20.62	19.3	91	2.85
2016-01-16	1.2	3.2	5.8	25.3	20.98	18	75	3.1
2016-01-17	3.5	9.5	0	27	20.92	15.2	69	4.1
2016-01-18	5	2.2	0	23.2	19.9	17.3	85	3.05
2016-01-19	4.4	0.5	0	22.2	19.76	17.3	69	4.55
2016-01-20	3.5	0	0	22.8	19.76	17.4	84	2.9
2016-01-21	2.7	11.6	0	25.8	20.7	16.6	71	4.1
2016-01-22	5.1	5.8	0	24.6	20.14	15.7	79	3.3
2016-01-23	3.5	6.6	0	28	21.58	17.4	80	2.65
2016-01-24	3.6	6	0	28.2	22.3	18.3	89	1.65
2016-01-25	3.1	9.9	3	32.3	24.78	18.6	85	0
2016-01-26	4.8	8.9	0	33.5	25.34	18.6	66	3.966667
2016-01-27	6.2	2.3	0.4	30	23.52	19.6	89.25	2.9
2016-01-28	2	3.2	35	29	23.72	19.4	75.75	2.933333
2016-01-29	3.6	0.6	0	28.7	24.74	20.9	71.75	2.333333
2016-01-30	3.2	7.1	2.2	31	26.24	21	63	2.433333
2016-01-31	3.2	10.9	0	33.6	28.18	21.3	40.25	1.9
2016-02-01	7	11.1	0	33.5	27.68	22.5	54.75	2.3
2016-02-02	8.3	6.4	0	31.6	25.62	22.3	79	1.6
2016-02-03	9.2	7.5	4.8	31.8	25.14	20.4	74	2.45
2016-02-04	0.8	1.8	3	29.3	24.96	21.3	76	2.25
2016-02-05	2.3	8	0	33.3	25.34	21.3	84	1.9
2016-02-06	4.9	2	4.4	29.2	23.62	20.8	86	2.2
2016-02-07	3.2	4.3	14.8	30.5	24.42	20.5	81	2.15
2016-02-08	3.5	8.8	0	33	24.9	20.6	82	1.65
2016-02-09	4.3	11.9	48	32.5	27.14	20.7	63	2.4
2016-02-10	7.2	7.8	0	32.5	26.4	23.4	71	1.9
2016-02-11	5.2	0	0.1	27.8	23.62	21.5	83	3.55
2016-02-12	2.8	11	0	28.4	22.44	18	73	3.7
2016-02-13	5.6	8.1	0	30.3	23.58	18.4	78	2.45
2016-02-14	3.8	9.6	0	33.6	26.92	19.8	70	2.3
2016-02-15	6.1	2.8	0	31	24.5	20.9	80	2
2016-02-16	2.6	4	23.4	28.7	24.06	19.8	75	2.966667
2016-02-17	3.6	6.7	0	30.8	25.18	21.5	71.5	2.733333
2016-02-18	4.8	7.7	0.6	31.5	25.04	21.1	72.75	3.033333
2016-02-19	4	8.2	4.2	31.6	25.38	20.9	72	1.1
2016-02-20	4	9.7	0	31.6	24.84	19.8	75.5	2.133333
2016-02-21	3.4	0	102	25.5	23.14	19.8	80	2.866667
2016-02-22	2	0	4.6	24.4	22.36	19.6	84.75	2.3
