Date,R. Vergueiro Bicicleta Bairro,R. Vergueiro Bicicleta Centro
January 17, 2016,767,585
January 18, 2016,1066,1087
January 19, 2016,927,925
January 20, 2016,1061,1159
January 21, 2016,863,877
January 22, 2016,1005,982
January 23, 2016,1034,1136
January 24, 2016,1376,1489
January 25, 2016,1137,1149
January 26, 2016,640,715
January 27, 2016,973,1093
January 28, 2016,858,951
January 29, 2016,822,802
January 30, 2016,1129,1086
January 31, 2016,1105,1102
February 1, 2016,1186,1072
February 2, 2016,1114,1186
February 3, 2016,793,653
February 4, 2016,0,0
February 5, 2016,0,0
February 6, 2016,0,0
February 7, 2016,0,0
February 8, 2016,0,0
February 9, 2016,0,0
February 10, 2016,572,420
February 11, 2016,1039,1068
February 12, 2016,967,983
February 13, 2016,1530,1649
February 14, 2016,330,492
February 15, 2016,1108,1023
February 16, 2016,884,881
February 17, 2016,1123,1169
February 18, 2016,958,963
February 19, 2016,922,933
February 20, 2016,1141,1423
February 21, 2016,980,962
February 22, 2016,1064,1143
February 23, 2016,799,834
February 24, 2016,1126,1218
February 25, 2016,1136,1056
February 26, 2016,976,995
February 27, 2016,1040,1140
February 28, 2016,644,670
February 29, 2016,433,419
March 1, 2016,660,681
March 2, 2016,535,557
March 3, 2016,905,923
March 4, 2016,1073,1088
March 5, 2016,1044,1098
March 6, 2016,860,878
March 7, 2016,1184,1213
March 16, 2016,769,621
March 17, 2016,937,1046
March 18, 2016,1215,1195
March 19, 2016,1180,1196
March 20, 2016,1156,1202
March 21, 2016,1147,1181
March 22, 2016,816,777
March 23, 2016,886,885
March 24, 2016,396,496
March 25, 2016,899,902
March 26, 2016,879,1013
March 27, 2016,1005,1025
March 28, 2016,1146,1207
March 29, 2016,1036,1067
March 30, 2016,1029,1091
March 31, 2016,982,1070
April 1, 2016,1023,976
April 2, 2016,1146,1203
April 3, 2016,1095,1134
April 4, 2016,1303,1317
April 5, 2016,1214,1254
April 6, 2016,1313,1300
April 7, 2016,1001,1035
April 8, 2016,947,1013
April 9, 2016,1068,1129
April 10, 2016,1095,1132
April 11, 2016,1298,1385
April 12, 2016,1180,1228
April 13, 2016,1342,1336
April 14, 2016,1064,1145
April 15, 2016,1036,978
April 16, 2016,857,920
April 17, 2016,1098,1121
April 18, 2016,1270,1399
April 19, 2016,1091,1138
April 20, 2016,1031,1214
April 21, 2016,947,907
April 22, 2016,953,959
April 23, 2016,1203,1241
April 24, 2016,1181,1122
April 25, 2016,1051,1118
April 26, 2016,694,749
April 27, 2016,901,933
April 28, 2016,756,808
April 29, 2016,859,808
April 30, 2016,991,1037
May 1, 2016,978,981
May 2, 2016,1064,1213
May 3, 2016,1059,1049
May 4, 2016,1121,1178
May 5, 2016,964,968
May 6, 2016,872,754
May 7, 2016,651,705
May 8, 2016,1009,1026
May 9, 2016,1136,1133
May 10, 2016,1074,1062
May 11, 2016,910,992
May 12, 2016,892,918
May 13, 2016,860,822
May 14, 2016,1271,1390
May 15, 2016,613,589
May 16, 2016,961,1071
May 17, 2016,449,462
May 18, 2016,479,488
May 19, 2016,742,791
May 20, 2016,356,354
May 21, 2016,899,1879
May 22, 2016,613,614
May 23, 2016,726,771
May 24, 2016,750,796
